,Event ID,Fight Number,Fight ID,Weight Class,Card Segment,Referee,Rounds,Result Type,Winner ID
244,141,4,1594,Women's Bantamweight,Main Card,Mark Smith,3,Scrambled,140000159.0
245,141,5,1593,Lightweight,Main Card,Herb Dean,3,Scrambled,140000165.0
246,141,6,1592,Welterweight,Prelims,Jason Herzog,3,Scrambled,140000168.0
247,141,7,1604,Middleweight,Prelims,Mark Smith,3,Scrambled,140000229.0
248,141,8,1591,Lightweight,Prelims,Chris Tognoni,3,Scrambled,140000520.0
249,141,9,1590,Middleweight,Prelims,Herb Dean,3,Scrambled,140000321.0
250,141,10,1589,Featherweight,Prelims,Jason Herzog,3,Scrambled,140000499.0
251,141,11,1588,Featherweight,Prelims,Mark Smith,3,Scrambled,140000895.0
252,141,12,1577,Bantamweight,Prelims,Chris Tognoni,3,Scrambled,140000909.0
253,135,1,1487,Heavyweight,Main Card,Marc Goddard,5,Scrambled,140000558.0
254,135,2,1551,Bantamweight,Main Card,Herb Dean,3,Scrambled,140000207.0
255,135,3,1554,Heavyweight,Main Card,Dan Miragliotta,3,Scrambled,140000034.0
256,135,4,1607,Featherweight,Main Card,Mark Smith,3,Scrambled,140000931.0
257,135,5,1603,Bantamweight,Main Card,Chris Tognoni,3,Scrambled,140000325.0
258,135,6,1486,Lightweight,Prelims,Herb Dean,3,Scrambled,140000437.0
259,135,7,1606,Women's Strawweight,Prelims,Marc Goddard,3,Scrambled,140000297.0
260,135,8,1485,Featherweight,Prelims,Dan Miragliotta,3,Scrambled,140000990.0
261,135,9,1608,Women's Strawweight,Prelims,Mark Smith,3,Scrambled,140000041.0
262,135,10,1611,Heavyweight,Early Prelims,Herb Dean,3,Scrambled,140000992.0
263,135,11,1617,Featherweight,Early Prelims,Chris Tognoni,3,Scrambled,140001002.0
264,142,1,1598,Bantamweight,Main Card,Herb Dean,5,Scrambled,140000504.0
265,142,2,1624,Light Heavyweight,Main Card,Jason Herzog,3,Scrambled,140000464.0
266,142,3,1622,Lightweight,Main Card,Herb Dean,3,Scrambled,140000457.0
267,142,4,1623,Women's Flyweight,Main Card,,3,Scrambled,140000551.0
268,142,5,1578,Welterweight,Main Card,Chris Tognoni,3,Scrambled,140000508.0
269,142,6,1616,Women's Strawweight,Prelims,Jason Herzog,3,Scrambled,140000886.0
270,142,7,1620,Light Heavyweight,Prelims,Jason Herzog,3,Scrambled,140000772.0
271,142,8,1618,Welterweight,Prelims,Mark Smith,3,Scrambled,140001006.0
272,142,9,1619,Catch Weight,Prelims,Chris Tognoni,3,Scrambled,140001010.0
273,143,1,1580,Light Heavyweight,Main Card,Herb Dean,3,Scrambled,140000387.0
274,143,2,1639,Welterweight,Main Card,Jason Herzog,3,Scrambled,140000752.0
275,143,3,1638,Women's Flyweight,Main Card,Chris Tognoni,3,Scrambled,140000397.0
276,143,4,1637,Featherweight,Main Card,Mark Smith,3,Scrambled,140000395.0
277,143,5,1579,Middleweight,Prelims,Jason Herzog,3,Scrambled,140000577.0
278,143,6,1634,Middleweight,Prelims,Mark Smith,3,Scrambled,140000352.0
279,143,7,1633,Featherweight,Prelims,Chris Tognoni,3,Scrambled,140000091.0
280,143,8,1630,Welterweight,Prelims,Herb Dean,3,Scrambled,140000882.0
281,143,9,1631,Women's Strawweight,Prelims,Jason Herzog,3,Scrambled,140000126.0
282,143,10,1635,Women's Strawweight,Prelims,Chris Tognoni,3,Scrambled,140000562.0
283,150,1,1651,Heavyweight,Main Card,Herb Dean,5,Scrambled,140000287.0
284,150,2,1670,Light Heavyweight,Main Card,Jason Herzog,3,Scrambled,140000260.0
285,150,3,1668,Welterweight,Main Card,Chris Tognoni,3,Scrambled,140000357.0
286,150,4,1650,Middleweight,Main Card,Mark Smith,3,Scrambled,140000524.0
287,150,5,1685,Featherweight,Main Card,Herb Dean,3,Scrambled,140000702.0
288,150,6,1665,Women's Flyweight,Main Card,Jason Herzog,3,Scrambled,140000333.0
289,150,7,1663,Bantamweight,Main Card,Mark Smith,3,Scrambled,140000453.0
290,151,1,1686,Women's Strawweight,Main Card,Marc Goddard,5,Scrambled,140000240.0
291,151,2,1699,Lightweight,Main Card,Herb Dean,3,Scrambled,140000596.0
292,151,3,1698,Women's Flyweight,Main Card,Mark Smith,3,Scrambled,140000281.0
293,151,4,1697,Light Heavyweight,Main Card,Chris Tognoni,3,Scrambled,140000354.0
294,151,5,1703,Lightweight,Main Card,Herb Dean,3,Scrambled,140000649.0
295,151,6,1693,Featherweight,Main Card,Marc Goddard,3,Scrambled,140000488.0
296,151,7,1705,Women's Bantamweight,Prelims,Mark Smith,3,Scrambled,140000360.0
297,151,8,1704,Lightweight,Prelims,Chris Tognoni,3,Scrambled,140001017.0
298,151,9,1708,Heavyweight,Prelims,Mark Smith,3,Scrambled,140000903.0
299,151,10,1702,Catch Weight,Prelims,Herb Dean,3,Scrambled,140000056.0
300,151,11,1701,Welterweight,Prelims,Chris Tognoni,3,Scrambled,140000090.0
301,151,12,1700,Women's Flyweight,Prelims,Marc Goddard,3,Scrambled,140000225.0
302,146,1,1644,Welterweight,Main Card,Dan Miragliotta,5,Scrambled,140000521.0
303,146,2,1718,Welterweight,Main Card,Jason Herzog,3,Scrambled,
304,146,3,1717,Middleweight,Main Card,Mark Smith,3,Scrambled,140000941.0
305,146,4,1716,Light Heavyweight,Main Card,Dan Miragliotta,3,Scrambled,140000043.0
306,146,5,1662,Women's Strawweight,Main Card,Jason Herzog,3,Scrambled,140000633.0
307,146,6,1715,Middleweight,Main Card,Mark Smith,3,Scrambled,140000229.0
308,146,7,1643,Flyweight,Prelims,Jason Herzog,3,Scrambled,140000901.0
309,146,8,1713,Featherweight,Prelims,Dan Miragliotta,3,Scrambled,140001041.0
310,146,9,1712,Women's Flyweight,Prelims,Jason Herzog,3,Scrambled,140000842.0
311,146,10,1711,Women's Bantamweight,Prelims,Chris Tognoni,3,Scrambled,140000654.0
312,146,11,1661,Featherweight,Prelims,Dan Miragliotta,3,Scrambled,140000527.0
313,146,12,1710,Bantamweight,Prelims,Mark Smith,3,Scrambled,140000248.0
314,146,13,1709,Bantamweight,Prelims,Chris Tognoni,3,Scrambled,140000419.0
315,146,14,1720,Bantamweight,Prelims,Chris Tognoni,3,Scrambled,140000608.0
316,144,1,1583,Middleweight,Main Card,Jason Herzog,5,Scrambled,140000074.0
