,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
Pre_COVID,WIN,Rodolfo Vieira,0,5,2,1,Middleweight,SUB,1,2:58,,,,,
Pre_COVID,,Saparbeg Safarov,0,5,0,0,,Arm Triangle,,,,,,,
Pre_COVID,WIN,Gerald Meerschaert,1,86,1,1,Middleweight,SUB,3,2:13,,,,,
Pre_COVID,,Deron Winn,0,53,1,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Giga Chikadze,0,38,0,0,Featherweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Jamall Emmers,0,54,2,0,,,,,,,,,
Pre_COVID,WIN,Batgerel Danaa,1,17,0,0,Bantamweight,KO/TKO,1,3:01,,,,,
Pre_COVID,,Guido Cannetti,0,11,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Charles Oliveira,0,43,0,2,Lightweight,SUB,3,0:28,,,,,
Pre_COVID,,Kevin Lee,0,41,2,0,,Guillotine Choke,,,,,,,
Pre_COVID,WIN,Gilbert Burns,1,13,0,0,Welterweight,KO/TKO,1,2:34,,,,,
Pre_COVID,,Demian Maia,0,4,2,0,,Punch,,,,,,,
Pre_COVID,WIN,Renato Moicano,0,1,1,1,Lightweight,SUB,1,0:44,,,,,
Pre_COVID,,Damir Hadzovic,0,1,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Nikita Krylov,0,45,3,0,Light Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Johnny Walker,0,37,0,0,,,,,,,,,
Pre_COVID,WIN,Francisco Trinaldo,0,55,0,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,John Makdessi,0,67,0,0,,,,,,,,,
Pre_COVID,WIN,Brandon Moreno,0,33,0,0,Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Jussier Formiga,0,15,1,1,,,,,,,,,
Pre_COVID,WIN,Amanda Ribas,0,85,1,2,Women's Strawweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Randa Markos,0,36,1,0,,,,,,,,,
Pre_COVID,WIN,Elizeu Zaleski dos Santos,0,62,2,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Aleksei Kunchenko,0,57,0,0,,,,,,,,,
Pre_COVID,DRAW,Rani Yahya,0,24,2,0,Bantamweight,M-DEC,3,5:00,,,,,
Pre_COVID,DRAW,Enrique Barzola,0,57,1,1,,,,,,,,,
Pre_COVID,WIN,Maryna Moroz,0,139,2,0,Women's Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Mayra Bueno Silva,0,88,0,0,,,,,,,,,
Pre_COVID,WIN,David Dvorak,0,67,0,0,Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Bruno Silva,0,45,3,0,,,,,,,,,
Pre_COVID,WIN,Bea Malecki,0,130,0,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Veronica Macedo,0,93,0,0,,,,,,,,,
Pre_COVID,WIN,Justin Gaethje,0,143,0,0,Lightweight,KO/TKO,5,3:39,,,,,
Pre_COVID,,Tony Ferguson,0,136,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Henry Cejudo,1,53,1,0,Bantamweight,KO/TKO,2,4:58,,,,,
Pre_COVID,,Dominick Cruz,0,33,0,0,,Knee,,,,,,,
Pre_COVID,WIN,Francis Ngannou,1,6,0,0,Heavyweight,KO/TKO,1,0:20,,,,,
Pre_COVID,,Jairzinho Rozenstruik,0,5,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Calvin Kattar,1,52,0,0,Featherweight,KO/TKO,2,2:49,,,,,
Pre_COVID,,Jeremy Stephens,0,57,0,0,,Elbow,,,,,,,
Pre_COVID,WIN,Greg Hardy,0,55,0,0,Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Yorgan De Castro,0,24,0,0,,,,,,,,,
Pre_COVID,WIN,Anthony Pettis,0,63,0,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Donald Cerrone,0,62,2,0,,,,,,,,,
Pre_COVID,WIN,Aleksei Oleinik,0,94,0,0,Heavyweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Fabricio Werdum,0,53,3,1,,,,,,,,,
Pre_COVID,WIN,Carla Esparza,0,45,1,0,Women's Strawweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Michelle Waterson,0,44,0,0,,,,,,,,,
Pre_COVID,WIN,Vicente Luque,1,130,0,0,Welterweight,KO/TKO,3,3:37,,,,,
Pre_COVID,,Niko Price,0,129,1,0,,Punches,,,,,,,
Pre_COVID,WIN,Bryce Mitchell,0,40,3,5,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Charles Rosa,0,5,0,0,,,,,,,,,
Pre_COVID,WIN,Ryan Spann,0,51,2,1,Light Heavyweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Sam Alvey,0,57,0,0,,,,,,,,,
Pre_COVID,WIN,Glover Teixeira,1,138,1,0,Light Heavyweight,KO/TKO,5,1:04,,,,,
Pre_COVID,,Anthony Smith,0,86,1,0,,Punches,,,,,,,
Pre_COVID,WIN,Ben Rothwell,0,56,1,0,Heavyweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Ovince Saint Preux,1,42,0,0,,,,,,,,,
Pre_COVID,WIN,Drew Dober,0,61,0,0,Lightweight,KO/TKO,2,4:25,,,,,
Pre_COVID,,Alexander Hernandez,0,34,3,0,,Punches,,,,,,,
Pre_COVID,WIN,Ricky Simon,0,67,7,0,Bantamweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Ray Borg,0,47,0,0,,,,,,,,,
Pre_COVID,WIN,Andrei Arlovski,0,50,0,0,Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Philipe Lins,0,41,0,0,,,,,,,,,
